AccidentUID,AccidentYear,AccidentMonth,AccidentWeekDay,AccidentHour,CantonCode,AccidentSeverityCategory,AccidentInvolvingMotorcycle
string,,,,,,,
meta,,,,,,,
string,,,,,,,
meta,,,,,,,
99797FE6A30650A4E0430A865E3350A4,2011.0,Jan,Mi,Vormittag,,Schwer,0.0
9B25C486F5519022E0430A865E339022,2011.0,Feb,Mi,Nachmittag,,Leicht,0.0
9DF708209950F0ACE0430A865E33F0AC,2011.0,Mar,Mo,Nachmittag,,Leicht,0.0
9E21CAA0015CE0ECE0430A865E33E0EC,2011.0,Mar,Sa,Nacht,,Leicht,0.0
9F85FC4C2A5DD0DCE0430A865E33D0DC,2011.0,Apr,Di,Vormittag,,Leicht,0.0
A0BA78323785E06EE0430A865E33E06E,2011.0,Apr,Do,Nachmittag,,Schwer,1.0
A23127EFAD9BB0D0E0430A865E33B0D0,2011.0,Mai,Do,Nachmittag,,Leicht,0.0
A2349D0272DD307CE0430A865E33307C,2011.0,Mai,Mi,Vormittag,,Leicht,0.0
A246EA87822EB0D0E0430A865E33B0D0,2011.0,Apr,Fr,Abend,,Leicht,0.0
A246EA87CAAEB0D0E0430A865E33B0D0,2011.0,Mai,Mi,Nachmittag,,Leicht,0.0
A24D25661AB1E0C4E0430A865E33E0C4,2011.0,Mai,Mi,Nacht,,Leicht,0.0
A5D2A7739B94B0A8E0430A865E33B0A8,2011.0,Jun,Mo,Nachmittag,,Schwer,0.0
A866FEB675AB00DCE0430A83942700DC,2011.0,Jul,Sa,Nachmittag,,Schwer,0.0
A9C307B2F5CB0124E0430A8394270124,2011.0,Aug,Di,Vormittag,,Leicht,0.0
A9F93026140001E8E0430A83942701E8,2011.0,Aug,Mi,Abend,,Leicht,1.0
B10F9FB9F049012CE0430A839427012C,2011.0,Nov,Mi,Abend,,Schwer,0.0
B72FEB01ED82007EE0430A839427007E,2011.0,Mai,Fr,Abend,,Schwer,0.0
997B044BBD5660F6E0430A865E3360F6,2011.0,Jan,Mo,Vormittag,,Leicht,0.0
99AE7B254C3E10B0E0430A865E3310B0,2011.0,Jan,Mi,Vormittag,,Leicht,0.0
9AC554AD0A368000E0430A865E338000,2011.0,Feb,Sa,Vormittag,,Leicht,0.0
9DF701EE2F07F07CE0430A865E33F07C,2011.0,Mar,Sa,Vormittag,,Leicht,0.0
9F85FC4C350AD0DCE0430A865E33D0DC,2011.0,Apr,Mo,Nachmittag,,Schwer,0.0
A04398BFBD6740CEE0430A865E3340CE,2011.0,Apr,Mi,Nachmittag,,Leicht,0.0
A23127EFDC0EB0D0E0430A865E33B0D0,2011.0,Mai,Sa,Nachmittag,,Schwer,1.0
A54348233E9B3054E0430A865E333054,2011.0,Mai,Mi,Nachmittag,,Leicht,1.0
A5D301AC3FA8F04AE0430A865E33F04A,2011.0,Jun,Mo,Nachmittag,,Leicht,0.0
A777CC4368040012E0430A8394270012,2011.0,Mai,Fr,Nacht,,Schwer,0.0
A85E5BFEBF720108E0430A8394270108,2011.0,Jul,So,Abend,,Leicht,0.0
A8919CB20ECE01A4E0430A83942701A4,2011.0,Jul,Mo,Nachmittag,,Schwer,0.0
AAC434B1B9D100E0E0430A83942700E0,2011.0,Sep,So,Nachmittag,,Leicht,0.0
AAC434B1B9E800E0E0430A83942700E0,2011.0,Aug,Fr,Nachmittag,,Leicht,0.0
AB28DA7E25D3009AE0430A839427009A,2011.0,Aug,Mo,Nachmittag,,Schwer,0.0
AB28DA7E2F28009AE0430A839427009A,2011.0,Aug,Mi,Nachmittag,,Leicht,0.0
AB28DA7E8AE5009AE0430A839427009A,2011.0,Aug,Mo,Vormittag,,Leicht,0.0
AE939984679D0106E0430A8394270106,2011.0,Sep,Sa,Vormittag,,Schwer,0.0
B07FF16ADEB30008E0430A8394270008,2011.0,Nov,Di,Nacht,,Schwer,1.0
B125D3886DD501B2E0430A83942701B2,2011.0,Nov,Mo,Nachmittag,,Leicht,0.0
B3A4755630AA00DCE0430A83942700DC,2011.0,Nov,Di,Nachmittag,,Leicht,0.0
BCB47CACC7C400E8E0430A83942700E8,2012.0,Apr,Di,Nachmittag,,Schwer,0.0
9BFF47B12D75800AE0430A865E33800A,2011.0,Feb,Do,Nachmittag,,Leicht,0.0
9DF957614BFC701AE0430A865E33701A,2011.0,Mar,Fr,Nacht,,Schwer,0.0
9E21CAA00047E0ECE0430A865E33E0EC,2011.0,Mar,Sa,Nachmittag,,Leicht,0.0
A2349D02C96B307CE0430A865E33307C,2011.0,Mai,Fr,Vormittag,,Leicht,0.0
A245942699D4206EE0430A865E33206E,2011.0,Mai,Di,Abend,,Leicht,0.0
A246EA87956AB0D0E0430A865E33B0D0,2011.0,Mai,Sa,Vormittag,,Leicht,0.0
A6FF0BAB16B60026E0430A8394270026,2011.0,Jun,So,Vormittag,,Leicht,1.0
A76B084747B4015EE0430A839427015E,2011.0,Jun,Di,Nachmittag,,Schwer,0.0
A9E3E828BBAC00DCE0430A83942700DC,2011.0,Aug,Sa,Abend,,Schwer,0.0
A9FDEBFA5E4200C2E0430A83942700C2,2011.0,Aug,Di,Vormittag,,Leicht,1.0
AAC3CD41019C0070E0430A8394270070,2011.0,Aug,Fr,Vormittag,,Leicht,0.0
AAC3CD41059B0070E0430A8394270070,2011.0,Aug,Fr,Nachmittag,,Leicht,0.0
AB28DA7EBD05009AE0430A839427009A,2011.0,Sep,Fr,Nachmittag,,Leicht,0.0
B125D388B0B301B2E0430A83942701B2,2011.0,Nov,So,Abend,,Leicht,0.0
B14E59CD2F6D000CE0430A839427000C,2011.0,Nov,Fr,Vormittag,,Leicht,1.0
B15F5239968100D6E0430A83942700D6,2011.0,Sep,Mi,Vormittag,,Leicht,0.0
B353740F37FE0194E0430A8394270194,2011.0,Dez,Di,Vormittag,,Leicht,0.0
B39631DD94BB002AE0430A839427002A,2011.0,Nov,Sa,Vormittag,,Leicht,1.0
B3ECE649066B004CE0430A839427004C,2011.0,Dez,Di,Abend,,Leicht,0.0
C2E1C874D82801C0E0430A839427BF56,2012.0,Jun,Fr,Nachmittag,,Leicht,0.0
9776B77528E43080E0430A865E333080,2011.0,Jan,Mi,Nachmittag,,Leicht,0.0
9965818A8264F000E0430A865E33F000,2011.0,Jan,Mi,Nachmittag,,Leicht,0.0
99AE2B69F2FC70E8E0430A865E3370E8,2011.0,Jan,Do,Nachmittag,,Leicht,0.0
9BFF47B10B9D800AE0430A865E33800A,2011.0,Feb,Mo,Nachmittag,,Leicht,1.0
9DF704CC19438002E0430A865E338002,2011.0,Mar,Mo,Nachmittag,,Leicht,0.0
9DF70820D262F0ACE0430A865E33F0AC,2011.0,Mar,Do,Nachmittag,,Leicht,0.0
9E21CAA077B2E0ECE0430A865E33E0EC,2011.0,Mar,Fr,Nachmittag,,Leicht,0.0
A0BACF4EFE43A066E0430A865E33A066,2011.0,Apr,Do,Nachmittag,,Leicht,1.0
A0BACF4F0700A066E0430A865E33A066,2011.0,Apr,Do,Abend,,Schwer,0.0
A0C9BFD989D5B04CE0430A865E33B04C,2011.0,Apr,Do,Nachmittag,,Schwer,0.0
A0F2CF63EBA340A2E0430A865E3340A2,2011.0,Apr,Di,Vormittag,,Schwer,0.0
A2349D0370E6307CE0430A865E33307C,2011.0,Mai,Do,Vormittag,,Schwer,0.0
A777CC43B0820012E0430A8394270012,2011.0,Jul,Do,Abend,,Leicht,0.0
A85E5BFEB6D60108E0430A8394270108,2011.0,Jun,Mo,Nachmittag,,Leicht,0.0
A8919CB1FDF401A4E0430A83942701A4,2011.0,Jul,Fr,Nachmittag,,Leicht,0.0
AB28DA7E7B85009AE0430A839427009A,2011.0,Sep,So,Abend,,Leicht,0.0
B3E2F227AA5A00DAE0430A83942700DA,2011.0,Dez,Mo,Nachmittag,,Leicht,0.0
B3ECE10F29740184E0430A8394270184,2012.0,Jan,So,Nachmittag,,Leicht,0.0
B3F708A6C3BC0092E0430A8394270092,2012.0,Jan,Mi,Nachmittag,,Leicht,0.0
B7171FD0255900C4E0430A83942700C4,2012.0,Feb,Mi,Vormittag,,Leicht,0.0
C0C76DCAED370080E0430A83942729A8,2012.0,Mai,Sa,Nachmittag,,Leicht,0.0
9EFC87F381063078E0430A865E333078,2011.0,Mar,Mo,Vormittag,,Schwer,0.0
A0BA78322522E06EE0430A865E33E06E,2011.0,Apr,Sa,Vormittag,,Leicht,1.0
A2459425D7E1206EE0430A865E33206E,2011.0,Mai,Mi,Nachmittag,,Schwer,1.0
A7045526D8750106E0430A8394270106,2011.0,Jul,So,Nachmittag,,Schwer,0.0
A891B01BF72B015AE0430A839427015A,2011.0,Jun,Mi,Nachmittag,,Schwer,1.0
AAC3D09510E400AEE0430A83942700AE,2011.0,Aug,Mo,Vormittag,,Schwer,0.0
AAC434B395840062E0430A8394270062,2011.0,Aug,Do,Abend,,Leicht,1.0
